Kiosque,Ville,Implantation,Segment,Ruptures_sum,Ruptures_mean,Ruptures_min,Ruptures_max,Gravity
140784,Sallenelles,Dans La Rue,Bars (Dont Tabac),5,8%,0,1,-1
140788,Honfleur,Dans La Rue,Presse Librairie Papeterie,15,5%,0,1,-1
140793,Caen,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
140807,Blainville-sur-Orne,Dans La Rue,Presse Tabac (Hors Bar),3,8%,0,1,-1
140809,Port-en-Bessin-Huppain,Ds Supermarche,Rayons Supermarches,65,21%,0,1,0
140813,Honfleur,Dans La Rue,Presse Librairie Papeterie,108,35%,0,1,1
140823,Dozulé,Ds Supermarche,Rayons Supermarches,90,29%,0,1,1
140825,Lion-sur-Mer,Ds Supermarche,Rayons Supermarches,1,3%,0,1,-1
140827,Caen,Dans La Rue,Presse Tabac (Hors Bar),29,9%,0,1,-1
140832,Bernières-sur-Mer,Ds Supermarche,Rayons Supermarches,53,17%,0,1,0
140833,Caen,Ds Superette,Alimentation,133,45%,0,1,1
140834,Verson,Ds Supermarche,Rayons Supermarches,24,8%,0,1,-1
140841,Bretteville-sur-Odon,Ds Supermarche,Rayons Supermarches,92,30%,0,1,1
140845,Formigny,Dans La Rue,Bars (Dont Tabac),33,13%,0,1,-1
140846,Lisieux,Dans La Rue,Bars (Dont Tabac),20,6%,0,1,-1
140847,Verson,Dans La Rue,Presse Tabac (Hors Bar),0,0%,0,0,-1
140848,Bayeux,Dans La Rue,Enseignes/Concepts,50,16%,0,1,0
140850,Équemauville,Dans La Rue,Presse Tabac (Hors Bar),105,36%,0,1,1
140852,Mondeville,Ds Superette,Alimentation,0,0%,0,0,-1
140860,Asnelles,Epicerie,Alimentation,78,25%,0,1,1
141016,Caen,Ds Un Hopital,Environnement Specifique,51,17%,0,1,0
141019,Bretteville-l'Orgueilleuse,Ds Supermarche,Autres,79,33%,0,1,1
141025,Lisieux,Ds Un Hopital,Relais H,43,14%,0,1,0
141026,Biéville-Beuville,Ds Supermarche,Rayons Supermarches,36,12%,0,1,-1
141030,Lisieux,Ccial Avec Sup.,Presse Librairie Papeterie,4,14%,0,1,0
141046,Caen,Ds Superette,Alimentation,0,0%,0,0,-1
141051,Sainte-Honorine-du-Fay,Ds Supermarche,Rayons Supermarches,24,16%,0,1,0
141064,Dozulé,Dans La Rue,Presse Tabac (Hors Bar),102,36%,0,1,1
141066,Condé-en-Normandie,Ds Superette,Alimentation,88,29%,0,1,1
141068,Saint-Arnoult,Epicerie,Alimentation,51,19%,0,1,0
141081,Vespière-Friardel,Ds Supermarche,Rayons Supermarches,120,39%,0,1,1
141083,Valdallière,Dans La Rue,Bars (Dont Tabac),0,0%,0,0,-1
141087,Caen,Ds Superette,Alimentation,60,29%,0,1,1
141088,Mondeville,Dans Culturel,Enseignes/Concepts,0,0%,0,0,-1
141092,Caen,Dans La Rue,Bars (Dont Tabac),32,18%,0,1,0
141096,Honfleur,Dans La Rue,Bars (Dont Tabac),1,14%,0,1,0
141099,Mézidon-Canon,Ds Supermarche,Rayons Supermarches,200,66%,0,1,1
141101,Caen,Ds Un Hopital,Relais H,99,33%,0,1,1
141102,Port-en-Bessin-Huppain,Dans La Rue,Bars (Dont Tabac),64,22%,0,1,0
