Date,Delivered,Sales,code_dept
08-2015,13290.0,8213.0,05
09-2015,5967.0,2649.0,05
10-2015,5249.0,2481.0,05
11-2015,4650.0,1822.0,05
12-2015,6136.0,2975.0,05
01-2016,5799.0,2636.0,05
02-2016,8699.0,4352.0,05
03-2016,8344.0,3974.0,05
04-2016,6261.0,2399.0,05
05-2016,4836.0,1871.0,05
06-2016,4388.0,2251.0,05
07-2016,9736.0,5623.0,05
08-2016,11604.0,7504.0,05
09-2016,5113.0,2384.0,05
10-2016,4676.0,2053.0,05
11-2016,4360.0,1766.0,05
12-2016,5933.0,2760.0,05
01-2014,61543.0,39870.0,06
02-2014,58391.0,37349.0,06
03-2014,69792.0,45450.0,06
04-2014,69746.0,43964.0,06
05-2014,73401.0,43111.0,06
06-2014,69815.0,44503.0,06
07-2014,88319.0,59871.0,06
08-2014,85151.0,59454.0,06
09-2014,83388.0,53723.0,06
10-2014,68419.0,40646.0,06
11-2014,58111.0,33654.0,06
12-2014,59214.0,34818.0,06
01-2015,64641.0,39423.0,06
02-2015,56991.0,37023.0,06
03-2015,61104.0,36639.0,06
04-2015,61517.0,37792.0,06
05-2015,62867.0,37680.0,06
06-2015,68941.0,42910.0,06
07-2015,80538.0,50883.0,06
08-2015,76234.0,50142.0,06
09-2015,71501.0,43902.0,06
10-2015,64843.0,36308.0,06
11-2015,61355.0,31288.0,06
12-2015,59281.0,31816.0,06
01-2016,54112.0,31380.0,06
02-2016,57228.0,32645.0,06
03-2016,57738.0,32405.0,06
04-2016,56798.0,31895.0,06
05-2016,55203.0,33309.0,06
06-2016,57052.0,36801.0,06
07-2016,68892.0,44096.0,06
08-2016,69667.0,46634.0,06
09-2016,63194.0,38840.0,06
10-2016,61970.0,32703.0,06
11-2016,62690.0,30827.0,06
12-2016,55553.0,29430.0,06
01-2014,5632.0,2672.0,07
02-2014,4750.0,2348.0,07
03-2014,5633.0,3052.0,07
04-2014,6189.0,3175.0,07
05-2014,6307.0,3164.0,07
06-2014,5993.0,3068.0,07
07-2014,9348.0,5112.0,07
08-2014,9965.0,5944.0,07
09-2014,7527.0,3732.0,07
10-2014,6058.0,3099.0,07
11-2014,5635.0,2596.0,07
12-2014,5757.0,2694.0,07
01-2015,5689.0,2836.0,07
02-2015,4468.0,2491.0,07
03-2015,5087.0,2552.0,07
04-2015,5570.0,2841.0,07
05-2015,5616.0,2916.0,07
06-2015,6601.0,3394.0,07
07-2015,8891.0,4854.0,07
